xflr5 v6.61

SD6060-104-88_180
Reynolds =,  200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -5.000,    0.020, -0.362, -0.041,  0.966,  0.027, 0.0000,-3.3255
Cpi,Cpv
-0.1147,-0.0992
-0.1027,-0.0882
-0.0906,-0.0772
-0.0784,-0.0661
-0.0664,-0.0550
-0.0543,-0.0438
-0.0420,-0.0326
-0.0293,-0.0212
-0.0162,-0.0096
-0.0026, 0.0021
 0.0120, 0.0140
 0.0273, 0.0260
 0.0429, 0.0380
 0.0588, 0.0499
 0.0752, 0.0618
 0.0929, 0.0736
 0.1123, 0.0854
 0.1327, 0.0969
 0.1546, 0.1080
 0.1786, 0.1184
 0.2070, 0.1281
 0.2403, 0.1363
 0.2573, 0.1485


Reynolds =,  200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -4.500,    0.017, -0.287, -0.045,  0.957,  0.033, 0.0000,-2.8911
Cpi,Cpv
 0.2566, 0.1662
 0.2540, 0.1489
 0.2325, 0.1103
 0.2093, 0.0621
 0.1904, 0.0086
 0.1750,-0.0177
 0.1593,-0.0196
 0.1433,-0.0213
 0.1283,-0.0230
 0.1142,-0.0246
 0.1005,-0.0261
 0.0874,-0.0277
 0.0745,-0.0294
 0.0618,-0.0312
 0.0494,-0.0331
 0.0373,-0.0352
 0.0255,-0.0376
 0.0142,-0.0402
 0.0032,-0.0431
-0.0074,-0.0465
-0.0177,-0.0503
-0.0277,-0.0545
-0.0374,-0.0592
-0.0469,-0.0644
-0.0563,-0.0700
-0.0653,-0.0761
-0.0741,-0.0827
-0.0823,-0.0898
-0.0900,-0.0973
-0.0974,-0.1050
-0.1045,-0.1129
-0.1117,-0.1209
-0.1187,-0.1289
-0.1257,-0.1369
-0.1328,-0.1448
-0.1401,-0.1525
-0.1476,-0.1601
-0.1549,-0.1674
-0.1616,-0.1742
-0.1674,-0.1804
-0.1722,-0.1858
-0.1762,-0.1905
-0.1794,-0.1944
-0.1818,-0.1976
-0.1832,-0.1998
-0.1839,-0.2014
-0.1839,-0.2022
-0.1832,-0.2023
-0.1818,-0.2017
-0.1797,-0.2004
-0.1771,-0.1985
-0.1738,-0.1959
-0.1700,-0.1928
-0.1655,-0.1890
-0.1605,-0.1846
-0.1548,-0.1796
-0.1485,-0.1741
-0.1416,-0.1679
-0.1342,-0.1612
-0.1263,-0.1538
-0.1176,-0.1457
-0.1079,-0.1366
-0.0973,-0.1266
-0.0855,-0.1154
-0.0723,-0.1030
-0.0577,-0.0892
-0.0416,-0.0737
-0.0234,-0.0564
-0.0032,-0.0371
 0.0194,-0.0154
 0.0451, 0.0092
 0.0739, 0.0370
 0.1069, 0.0688
 0.1450, 0.1055
 0.1884, 0.1479
 0.2399, 0.1979
 0.2998, 0.2565
 0.3706, 0.3257
 0.4542, 0.4085
 0.5527, 0.5055
 0.6612, 0.6150
 0.7739, 0.7292
 0.8829, 0.8457
 0.9648, 0.9384
 0.9995, 0.9916
 0.9719, 0.9932
 0.8451, 0.9169
 0.5890, 0.7294
 0.1614, 0.4045
-0.5551,-0.1478
-1.6762,-0.9981
-3.2469,-2.1361
-4.3426,-2.8911
-4.1732,-2.7884
-3.5480,-2.4398
-2.8184,-2.2092
-2.3460,-2.0738
-2.1575,-1.9788
-1.9090,-1.9109
-1.6925,-1.8642
-1.5162,-1.8238
-1.3425,-1.7783
-1.1910,-1.2345
-1.0688,-0.9655
-0.9809,-0.8574
-0.9044,-0.7953
-0.8405,-0.7467
-0.7846,-0.7042
-0.7381,-0.6679
-0.6988,-0.6357
-0.6635,-0.6061
-0.6324,-0.5796
-0.6044,-0.5555
-0.5787,-0.5333
-0.5556,-0.5129
-0.5344,-0.4942
-0.5148,-0.4767
-0.4969,-0.4607
-0.4806,-0.4458
-0.4655,-0.4319
-0.4512,-0.4188
-0.4377,-0.4064
-0.4249,-0.3946
-0.4128,-0.3833
-0.4013,-0.3726
-0.3904,-0.3624
-0.3801,-0.3526
-0.3701,-0.3431
-0.3606,-0.3340
-0.3513,-0.3252
-0.3423,-0.3166
-0.3336,-0.3082
-0.3252,-0.3000
-0.3171,-0.2921
-0.3091,-0.2842
-0.3012,-0.2765
-0.2933,-0.2687
-0.2853,-0.2609
-0.2773,-0.2531
-0.2693,-0.2453
-0.2615,-0.2375
-0.2538,-0.2298
-0.2461,-0.2221
-0.2384,-0.2143
-0.2306,-0.2064
-0.2223,-0.1982
-0.2138,-0.1898
-0.2052,-0.1813
-0.1963,-0.1726
-0.1873,-0.1637
-0.1781,-0.1546
-0.1687,-0.1454
-0.1590,-0.1359
-0.1489,-0.1261
-0.1385,-0.1161
-0.1277,-0.1059
-0.1167,-0.0955
-0.1053,-0.0849
-0.0937,-0.0741
-0.0820,-0.0633
-0.0703,-0.0524
-0.0587,-0.0414
-0.0470,-0.0304
-0.0351,-0.0193
-0.0228,-0.0080
-0.0101, 0.0035
 0.0031, 0.0152
 0.0173, 0.0272
 0.0321, 0.0393
 0.0474, 0.0514
 0.0629, 0.0636
 0.0788, 0.0757
 0.0961, 0.0879
 0.1150, 0.1000
 0.1350, 0.1120
 0.1564, 0.1235
 0.1799, 0.1345
 0.2078, 0.1448
 0.2404, 0.1536
 0.2566, 0.1662


Reynolds =,  200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -4.000,    0.014, -0.223, -0.046,  0.944,  0.056, 0.0000,-2.6174
Cpi,Cpv
 0.2560, 0.1869
 0.2525, 0.1712
 0.2304, 0.1429
 0.2066, 0.1012
 0.1872, 0.0473
 0.1713,-0.0087
 0.1551,-0.0384
 0.1386,-0.0405
 0.1232,-0.0424
 0.1087,-0.0442
 0.0945,-0.0459
 0.0809,-0.0476
 0.0676,-0.0494
 0.0545,-0.0512
 0.0417,-0.0531
 0.0291,-0.0551
 0.0168,-0.0573
 0.0051,-0.0598
-0.0063,-0.0626
-0.0174,-0.0657
-0.0281,-0.0692
-0.0386,-0.0731
-0.0488,-0.0775
-0.0588,-0.0824
-0.0686,-0.0877
-0.0782,-0.0934
-0.0874,-0.0997
-0.0962,-0.1064
-0.1044,-0.1137
-0.1123,-0.1213
-0.1199,-0.1293
-0.1276,-0.1374
-0.1352,-0.1456
-0.1427,-0.1539
-0.1504,-0.1622
-0.1583,-0.1705
-0.1665,-0.1786
-0.1744,-0.1864
-0.1817,-0.1938
-0.1881,-0.2006
-0.1935,-0.2067
-0.1983,-0.2121
-0.2022,-0.2167
-0.2052,-0.2205
-0.2072,-0.2234
-0.2086,-0.2257
-0.2093,-0.2272
-0.2093,-0.2280
-0.2086,-0.2281
-0.2073,-0.2276
-0.2054,-0.2264
-0.2029,-0.2246
-0.1999,-0.2222
-0.1962,-0.2193
-0.1920,-0.2157
-0.1871,-0.2116
-0.1817,-0.2069
-0.1757,-0.2016
-0.1693,-0.1958
-0.1624,-0.1894
-0.1547,-0.1823
-0.1461,-0.1743
-0.1367,-0.1654
-0.1260,-0.1554
-0.1141,-0.1441
-0.1009,-0.1316
-0.0861,-0.1175
-0.0693,-0.1016
-0.0507,-0.0837
-0.0297,-0.0636
-0.0057,-0.0406
 0.0213,-0.0145
 0.0523, 0.0155
 0.0884, 0.0503
 0.1298, 0.0907
 0.1792, 0.1387
 0.2371, 0.1954
 0.3061, 0.2631
 0.3886, 0.3446
 0.4868, 0.4418
 0.5967, 0.5516
 0.7137, 0.6704
 0.8329, 0.7947
 0.9315, 0.9021
 0.9889, 0.9727
 0.9950, 1.0000
 0.9200, 0.9603
 0.7310, 0.8243
 0.3896, 0.5528
-0.2041, 0.0787
-1.1577,-0.6917
-2.5258,-1.7612
-3.5357,-2.5726
-3.4694,-2.6174
-2.9859,-2.3315
-2.3885,-2.0496
-2.0037,-1.8313
-1.8666,-1.6501
-1.6683,-1.5046
-1.4898,-1.4040
-1.3433,-1.3266
-1.1967,-1.2567
-1.0679,-1.1911
-0.9622,-1.1334
-0.8861,-0.8383
-0.8192,-0.6949
-0.7632,-0.6483
-0.7138,-0.6213
-0.6727,-0.5973
-0.6378,-0.5741
-0.6065,-0.5513
-0.5788,-0.5297
-0.5538,-0.5093
-0.5309,-0.4900
-0.5101,-0.4719
-0.4911,-0.4550
-0.4735,-0.4391
-0.4574,-0.4241
-0.4428,-0.4102
-0.4292,-0.3974
-0.4163,-0.3855
-0.4042,-0.3744
-0.3926,-0.3632
-0.3816,-0.3528
-0.3712,-0.3429
-0.3614,-0.3335
-0.3521,-0.3246
-0.3430,-0.3160
-0.3344,-0.3078
-0.3260,-0.2997
-0.3178,-0.2919
-0.3098,-0.2843
-0.3021,-0.2769
-0.2948,-0.2696
-0.2874,-0.2625
-0.2803,-0.2554
-0.2730,-0.2483
-0.2657,-0.2412
-0.2583,-0.2340
-0.2509,-0.2269
-0.2436,-0.2197
-0.2365,-0.2126
-0.2294,-0.2055
-0.2222,-0.1982
-0.2149,-0.1909
-0.2072,-0.1832
-0.1992,-0.1754
-0.1910,-0.1674
-0.1826,-0.1591
-0.1741,-0.1507
-0.1654,-0.1421
-0.1565,-0.1333
-0.1472,-0.1242
-0.1376,-0.1148
-0.1276,-0.1052
-0.1173,-0.0953
-0.1067,-0.0852
-0.0957,-0.0748
-0.0846,-0.0643
-0.0733,-0.0536
-0.0620,-0.0429
-0.0509,-0.0321
-0.0395,-0.0212
-0.0281,-0.0101
-0.0162, 0.0011
-0.0039, 0.0127
 0.0089, 0.0245
 0.0227, 0.0367
 0.0371, 0.0492
 0.0519, 0.0617
 0.0670, 0.0744
 0.0826, 0.0871
 0.0994, 0.1001
 0.1179, 0.1131
 0.1374, 0.1261
 0.1583, 0.1387
 0.1813, 0.1510
 0.2086, 0.1626
 0.2407, 0.1727
 0.2560, 0.1869


Reynolds =,  200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -3.500,    0.012, -0.173, -0.046,  0.928,  0.304, 0.0000,-2.2713
Cpi,Cpv
 0.2555, 0.2063
 0.2512, 0.1924
 0.2284, 0.1736
 0.2040, 0.1450
 0.1841, 0.1047
 0.1677, 0.0498
 0.1510,-0.0089
 0.1341,-0.0569
 0.1182,-0.0592
 0.1032,-0.0613
 0.0887,-0.0632
 0.0746,-0.0650
 0.0609,-0.0668
 0.0474,-0.0686
 0.0341,-0.0705
 0.0210,-0.0725
 0.0083,-0.0746
-0.0039,-0.0769
-0.0157,-0.0794
-0.0273,-0.0822
-0.0385,-0.0854
-0.0494,-0.0889
-0.0601,-0.0929
-0.0706,-0.0973
-0.0809,-0.1023
-0.0909,-0.1077
-0.1007,-0.1135
-0.1099,-0.1198
-0.1186,-0.1266
-0.1271,-0.1340
-0.1352,-0.1418
-0.1434,-0.1499
-0.1516,-0.1583
-0.1597,-0.1669
-0.1679,-0.1755
-0.1765,-0.1842
-0.1853,-0.1928
-0.1938,-0.2012
-0.2018,-0.2092
-0.2089,-0.2167
-0.2149,-0.2234
-0.2203,-0.2295
-0.2249,-0.2348
-0.2286,-0.2393
-0.2313,-0.2430
-0.2334,-0.2460
-0.2348,-0.2482
-0.2355,-0.2498
-0.2355,-0.2506
-0.2350,-0.2508
-0.2338,-0.2504
-0.2321,-0.2494
-0.2299,-0.2479
-0.2270,-0.2457
-0.2237,-0.2430
-0.2197,-0.2397
-0.2152,-0.2359
-0.2101,-0.2315
-0.2047,-0.2267
-0.1989,-0.2213
-0.1923,-0.2152
-0.1848,-0.2083
-0.1766,-0.2005
-0.1672,-0.1917
-0.1565,-0.1816
-0.1447,-0.1704
-0.1314,-0.1576
-0.1161,-0.1431
-0.0991,-0.1268
-0.0799,-0.1083
-0.0577,-0.0870
-0.0327,-0.0627
-0.0038,-0.0346
 0.0302,-0.0018
 0.0692, 0.0365
 0.1163, 0.0823
 0.1718, 0.1368
 0.2386, 0.2025
 0.3193, 0.2820
 0.4166, 0.3786
 0.5267, 0.4873
 0.6465, 0.6095
 0.7741, 0.7391
 0.8872, 0.8592
 0.9643, 0.9442
 0.9993, 0.9934
 0.9704, 0.9884
 0.8431, 0.8978
 0.5816, 0.6846
 0.1022, 0.2884
-0.6947,-0.3823
-1.8713,-1.3483
-2.7942,-2.1423
-2.8164,-2.2713
-2.4603,-2.0701
-1.9838,-1.8165
-1.6794,-1.5982
-1.5894,-1.4299
-1.4376,-1.2957
-1.2946,-1.1866
-1.1761,-1.0887
-1.0552,-0.9891
-0.9481,-0.8939
-0.8582,-0.8188
-0.7933,-0.7595
-0.7358,-0.7086
-0.6873,-0.6642
-0.6442,-0.6259
-0.6083,-0.5928
-0.5778,-0.5635
-0.5502,-0.5374
-0.5258,-0.5139
-0.5038,-0.4926
-0.4835,-0.4733
-0.4651,-0.4558
-0.4482,-0.4397
-0.4325,-0.4250
-0.4182,-0.4116
-0.4052,-0.3994
-0.3931,-0.3883
-0.3816,-0.3783
-0.3708,-0.3694
-0.3605,-0.3618
-0.3506,-0.3559
-0.3413,-0.3406
-0.3325,-0.3222
-0.3241,-0.3037
-0.3160,-0.2874
-0.3082,-0.2743
-0.3006,-0.2642
-0.2933,-0.2563
-0.2861,-0.2497
-0.2791,-0.2439
-0.2725,-0.2385
-0.2658,-0.2332
-0.2593,-0.2279
-0.2527,-0.2224
-0.2460,-0.2166
-0.2392,-0.2106
-0.2324,-0.2044
-0.2256,-0.1983
-0.2191,-0.1924
-0.2125,-0.1864
-0.2059,-0.1805
-0.1991,-0.1740
-0.1919,-0.1672
-0.1844,-0.1602
-0.1767,-0.1529
-0.1688,-0.1455
-0.1608,-0.1378
-0.1526,-0.1300
-0.1441,-0.1218
-0.1353,-0.1134
-0.1261,-0.1046
-0.1166,-0.0956
-0.1067,-0.0862
-0.0966,-0.0766
-0.0861,-0.0666
-0.0753,-0.0565
-0.0645,-0.0462
-0.0536,-0.0358
-0.0429,-0.0254
-0.0320,-0.0148
-0.0209,-0.0041
-0.0094, 0.0070
 0.0024, 0.0184
 0.0148, 0.0302
 0.0282, 0.0425
 0.0422, 0.0551
 0.0566, 0.0680
 0.0713, 0.0811
 0.0864, 0.0944
 0.1028, 0.1081
 0.1209, 0.1222
 0.1399, 0.1363
 0.1604, 0.1504
 0.1829, 0.1642
 0.2096, 0.1776
 0.2411, 0.1894
 0.2555, 0.2063


Reynolds =,  200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -3.000,    0.010, -0.136, -0.042,  0.910,  0.665, 0.0000,-1.8656
Cpi,Cpv
 0.2551, 0.2200
 0.2499, 0.2075
 0.2265, 0.1946
 0.2015, 0.1755
 0.1811, 0.1488
 0.1642, 0.1121
 0.1471, 0.0621
 0.1297, 0.0019
 0.1134,-0.0602
 0.0979,-0.0755
 0.0829,-0.0777
 0.0684,-0.0797
 0.0543,-0.0816
 0.0403,-0.0835
 0.0266,-0.0853
 0.0131,-0.0872
-0.0001,-0.0892
-0.0127,-0.0913
-0.0250,-0.0936
-0.0370,-0.0961
-0.0487,-0.0989
-0.0601,-0.1021
-0.0713,-0.1056
-0.0822,-0.1095
-0.0931,-0.1139
-0.1036,-0.1188
-0.1139,-0.1242
-0.1236,-0.1301
-0.1328,-0.1364
-0.1418,-0.1433
-0.1505,-0.1507
-0.1592,-0.1586
-0.1679,-0.1669
-0.1766,-0.1756
-0.1854,-0.1845
-0.1946,-0.1935
-0.2040,-0.2026
-0.2132,-0.2115
-0.2219,-0.2201
-0.2296,-0.2282
-0.2363,-0.2357
-0.2424,-0.2424
-0.2476,-0.2485
-0.2520,-0.2537
-0.2555,-0.2582
-0.2583,-0.2619
-0.2604,-0.2649
-0.2618,-0.2672
-0.2626,-0.2689
-0.2628,-0.2699
-0.2624,-0.2702
-0.2615,-0.2700
-0.2601,-0.2693
-0.2581,-0.2679
-0.2556,-0.2661
-0.2525,-0.2636
-0.2490,-0.2607
-0.2449,-0.2573
-0.2405,-0.2534
-0.2357,-0.2490
-0.2303,-0.2439
-0.2240,-0.2381
-0.2170,-0.2314
-0.2088,-0.2237
-0.1996,-0.2149
-0.1892,-0.2049
-0.1774,-0.1935
-0.1637,-0.1805
-0.1485,-0.1657
-0.1311,-0.1487
-0.1108,-0.1291
-0.0879,-0.1067
-0.0613,-0.0806
-0.0297,-0.0498
 0.0068,-0.0138
 0.0512, 0.0298
 0.1040, 0.0819
 0.1681, 0.1452
 0.2463, 0.2226
 0.3419, 0.3173
 0.4511, 0.4249
 0.5723, 0.5480
 0.7065, 0.6820
 0.8320, 0.8116
 0.9260, 0.9084
 0.9847, 0.9753
 0.9963, 0.9996
 0.9252, 0.9499
 0.7375, 0.7914
 0.3637, 0.4697
-0.2873,-0.0989
-1.2836,-0.9493
-2.1183,-1.6911
-2.2145,-1.8656
-1.9714,-1.7301
-1.6045,-1.5218
-1.3733,-1.3379
-1.3259,-1.2174
-1.2170,-1.1246
-1.1071,-1.0410
-1.0148,-0.9618
-0.9181,-0.8784
-0.8315,-0.7976
-0.7567,-0.7322
-0.7027,-0.6804
-0.6540,-0.6355
-0.6128,-0.5964
-0.5758,-0.5623
-0.5449,-0.5329
-0.5186,-0.5071
-0.4947,-0.4840
-0.4736,-0.4633
-0.4544,-0.4446
-0.4366,-0.4275
-0.4205,-0.4118
-0.4057,-0.3974
-0.3919,-0.3841
-0.3793,-0.3718
-0.3680,-0.3603
-0.3573,-0.3496
-0.3472,-0.3396
-0.3376,-0.3302
-0.3285,-0.3212
-0.3198,-0.3127
-0.3115,-0.3046
-0.3037,-0.2969
-0.2963,-0.2895
-0.2891,-0.2825
-0.2821,-0.2756
-0.2754,-0.2691
-0.2688,-0.2627
-0.2624,-0.2565
-0.2561,-0.2505
-0.2502,-0.2446
-0.2442,-0.2389
-0.2384,-0.2332
-0.2324,-0.2277
-0.2262,-0.2222
-0.2200,-0.2168
-0.2138,-0.2114
-0.2076,-0.2062
-0.2016,-0.2010
-0.1956,-0.1959
-0.1895,-0.1909
-0.1832,-0.1859
-0.1765,-0.1810
-0.1695,-0.1763
-0.1623,-0.1716
-0.1550,-0.1671
-0.1474,-0.1628
-0.1396,-0.1587
-0.1316,-0.1550
-0.1233,-0.1474
-0.1145,-0.1327
-0.1055,-0.1164
-0.0961,-0.0992
-0.0864,-0.0823
-0.0763,-0.0662
-0.0660,-0.0515
-0.0555,-0.0381
-0.0451,-0.0252
-0.0348,-0.0134
-0.0243,-0.0021
-0.0136, 0.0087
-0.0025, 0.0194
 0.0089, 0.0300
 0.0209, 0.0410
 0.0339, 0.0524
 0.0475, 0.0642
 0.0615, 0.0764
 0.0757, 0.0888
 0.0904, 0.1017
 0.1064, 0.1150
 0.1240, 0.1291
 0.1426, 0.1434
 0.1625, 0.1580
 0.1845, 0.1726
 0.2107, 0.1870
 0.2415, 0.1999
 0.2551, 0.2200


Reynolds =,  200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -2.500,    0.010, -0.091, -0.038,  0.893,  0.799, 0.0000,-1.4367
Cpi,Cpv
 0.2548, 0.2231
 0.2487, 0.2106
 0.2248, 0.2005
 0.1992, 0.1863
 0.1782, 0.1676
 0.1608, 0.1427
 0.1432, 0.1089
 0.1254, 0.0633
 0.1086, 0.0036
 0.0927,-0.0582
 0.0773,-0.0949
 0.0624,-0.0972
 0.0478,-0.0994
 0.0333,-0.1014
 0.0192,-0.1033
 0.0052,-0.1053
-0.0084,-0.1072
-0.0215,-0.1092
-0.0342,-0.1114
-0.0467,-0.1137
-0.0589,-0.1162
-0.0707,-0.1190
-0.0824,-0.1222
-0.0938,-0.1257
-0.1051,-0.1296
-0.1161,-0.1340
-0.1269,-0.1389
-0.1372,-0.1444
-0.1469,-0.1503
-0.1564,-0.1566
-0.1656,-0.1636
-0.1750,-0.1711
-0.1842,-0.1791
-0.1935,-0.1877
-0.2029,-0.1966
-0.2127,-0.2059
-0.2227,-0.2153
-0.2326,-0.2247
-0.2419,-0.2339
-0.2503,-0.2426
-0.2577,-0.2507
-0.2645,-0.2582
-0.2704,-0.2650
-0.2755,-0.2710
-0.2797,-0.2763
-0.2832,-0.2808
-0.2860,-0.2846
-0.2882,-0.2877
-0.2897,-0.2901
-0.2907,-0.2919
-0.2912,-0.2932
-0.2911,-0.2938
-0.2905,-0.2939
-0.2893,-0.2934
-0.2877,-0.2924
-0.2856,-0.2909
-0.2830,-0.2889
-0.2799,-0.2865
-0.2766,-0.2836
-0.2729,-0.2803
-0.2686,-0.2763
-0.2636,-0.2716
-0.2578,-0.2662
-0.2511,-0.2597
-0.2432,-0.2523
-0.2343,-0.2437
-0.2241,-0.2338
-0.2122,-0.2223
-0.1987,-0.2092
-0.1833,-0.1940
-0.1651,-0.1764
-0.1444,-0.1560
-0.1202,-0.1321
-0.0912,-0.1037
-0.0575,-0.0702
-0.0160,-0.0294
 0.0336, 0.0199
 0.0946, 0.0803
 0.1698, 0.1550
 0.2628, 0.2469
 0.3701, 0.3532
 0.4910, 0.4747
 0.6301, 0.6143
 0.7659, 0.7504
 0.8737, 0.8601
 0.9514, 0.9408
 0.9975, 0.9943
 0.9772, 0.9856
 0.8573, 0.8850
 0.5805, 0.6383
 0.0643, 0.1790
-0.7627,-0.5494
-1.5083,-1.2234
-1.6637,-1.4367
-1.5193,-1.3656
-1.2505,-1.2097
-1.0854,-1.0695
-1.0762,-0.9984
-1.0065,-0.9447
-0.9272,-0.8857
-0.8594,-0.8261
-0.7855,-0.7607
-0.7183,-0.6964
-0.6577,-0.6427
-0.6141,-0.6000
-0.5740,-0.5624
-0.5398,-0.5295
-0.5086,-0.5005
-0.4825,-0.4754
-0.4603,-0.4534
-0.4400,-0.4336
-0.4220,-0.4158
-0.4056,-0.3997
-0.3903,-0.3849
-0.3764,-0.3713
-0.3636,-0.3588
-0.3517,-0.3472
-0.3408,-0.3364
-0.3310,-0.3264
-0.3217,-0.3170
-0.3130,-0.3082
-0.3047,-0.2999
-0.2967,-0.2920
-0.2891,-0.2844
-0.2818,-0.2772
-0.2751,-0.2703
-0.2685,-0.2637
-0.2622,-0.2573
-0.2561,-0.2511
-0.2502,-0.2451
-0.2444,-0.2392
-0.2387,-0.2334
-0.2332,-0.2278
-0.2279,-0.2223
-0.2226,-0.2168
-0.2174,-0.2114
-0.2120,-0.2060
-0.2065,-0.2006
-0.2009,-0.1952
-0.1952,-0.1897
-0.1896,-0.1843
-0.1841,-0.1789
-0.1786,-0.1735
-0.1730,-0.1680
-0.1672,-0.1626
-0.1611,-0.1571
-0.1546,-0.1516
-0.1479,-0.1462
-0.1410,-0.1408
-0.1339,-0.1355
-0.1266,-0.1303
-0.1190,-0.1252
-0.1111,-0.1203
-0.1029,-0.1156
-0.0942,-0.1111
-0.0853,-0.1067
-0.0760,-0.1025
-0.0663,-0.0985
-0.0565,-0.0946
-0.0465,-0.0909
-0.0364,-0.0872
-0.0265,-0.0837
-0.0164,-0.0802
-0.0062,-0.0573
 0.0045,-0.0293
 0.0155,-0.0020
 0.0271, 0.0233
 0.0396, 0.0456
 0.0529, 0.0648
 0.0664, 0.0816
 0.0803, 0.0967
 0.0946, 0.1108
 0.1101, 0.1243
 0.1272, 0.1379
 0.1454, 0.1515
 0.1648, 0.1652
 0.1863, 0.1789
 0.2119, 0.1926
 0.2421, 0.2047
 0.2548, 0.2231


Reynolds =,  200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -2.000,    0.010, -0.044, -0.034,  0.877,  0.866, 0.0000,-1.0257
Cpi,Cpv
